music,os,gender,height,weight,shoe,month,color,pet,number,prob,math
laika,Linux/unix,M,1.69,75,43,oct,black,dog,7,5,3
laika,Windows,F,1.6,60,38,jul,black,dog,55,6,6
metal,Windows,M,1.7,75,44,nov,black,none,69,7,5.5
hiphop,Windows,F,1.69,70,39,aug,red,cat,7,10,7
pop,Windows,F,1.66,74,40,nov,black,puma,76,5,8
rock,Windows,M,1.8,95,43,nov,green,racoon,69,5,4
pop,Windows,F,1.65,50,36,may,,dog,77,6,5
electronic,Windows,M,1.85,85,43.5,nov,black,dog,66,5,5
hiphop,MacOS,M,1.72,77,43,jan,white,canary,76,6,6
metal,Windows,M,1.76,75.5,42,mar,red,dog,69,10,10
laika,Windows,F,1.59,58,36.5,dec,pink,dog,20,5.5,
rock,Windows,F,1.7,43,37,jul,red,dog,73,,
jazz,MacOS,M,1.79,80,45,jul,green,dog,94,8,7
folk,Windows,M,1.73,85,43,dec,red,dog,7,3,3
laika,Windows,M,1.68,65,41,nov,blue,none,7,6,8
pop,Windows,M,1.83,78,43,feb,blue,dog,9,5.5,6
hiphop,Windows,M,1.8,80,43,oct,blue,dog,25,7,10
hiphop,Windows,M,1.84,82,45,may,blue,dog,59,7,9
pop,Windows,F,1.63,64,38,nov,black,dog,77,6,5.5
hiphop,Windows,M,1.85,120,46,mar,blue,dog,26,5.5,1
jazz,Linux/unix,M,1.85,75,44,jan,black,dog,29,5,7
hiphop,Windows,M,1.78,80,44,apr,purple,dog,64,8,7.5
rock,Windows,M,1.78,64,44,dec,black,cat,39,10,6.5
electronic,Windows,M,1.86,83,45,aug,black,cat,27,5.5,6
hiphop,MacOS,M,1.83,75,44.5,jul,blue,cat,38,5,7.5
laika,Windows,F,1.58,48,37,nov,pink,dog,13,0,2
hiphop,Windows,F,1.65,64,39,dec,purple,dog,8,6,5
hiphop,Windows,F,1.7,50,40,may,black,dog,50,,
hiphop,MacOS,F,1.67,74,38,may,black,cat,28,0,0
pop,Windows,F,1.62,58,37,mar,purple,dog,8,7,5.5
metal,Windows,M,1.75,70,43,jan,purple,dog,65,8.5,5.5
hiphop,Windows,F,1.76,75,42,jun,orange,dog,5,,
jazz,Windows,M,1.67,60,42,jan,yellow,cat,50,6.5,6.5
pop,Windows,M,1.8,84,44,dec,green,dog,13,5,7
